"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","associate's degree","standard","none","59","72","75"
"male","group C","some college","standard","none","64","70","62"
"male","group B","high school","standard","none","74","76","71"
"female","group C","associate's degree","free/reduced","completed","69","90","88"
"female","group C","associate's degree","standard","completed","63","76","73"
"male","group D","high school","standard","none","68","61","59"
"male","group C","associate's degree","standard","completed","75","74","76"
"female","group E","associate's degree","free/reduced","completed","75","81","80"
"male","group D","some college","standard","none","89","70","72"
"male","group D","some high school","free/reduced","completed","44","52","52"
"male","group A","associate's degree","standard","completed","81","75","83"
"male","group A","some high school","standard","completed","58","54","54"
"female","group C","associate's degree","standard","completed","68","73","80"
"male","group E","some high school","standard","none","70","49","50"
"female","group D","bachelor's degree","free/reduced","none","52","61","59"
"female","group C","some college","standard","completed","63","74","80"
"male","group C","some college","free/reduced","completed","59","50","52"
"male","group A","bachelor's degree","free/reduced","none","56","50","50"
"male","group D","high school","standard","completed","77","69","76"
"female","group B","bachelor's degree","standard","none","68","65","65"
"female","group C","associate's degree","standard","completed","63","76","75"
"male","group D","associate's degree","standard","none","73","63","68"
"male","group C","associate's degree","standard","none","60","60","58"
"male","group C","some college","standard","completed","80","74","76"
"male","group C","bachelor's degree","standard","none","86","83","74"
"male","group C","associate's degree","standard","none","66","73","70"
"male","group B","master's degree","free/reduced","completed","77","86","88"
"female","group C","associate's degree","standard","none","93","88","90"
"male","group E","associate's degree","standard","completed","88","85","81"
"female","group C","associate's degree","free/reduced","none","55","78","73"
"female","group D","master's degree","standard","completed","87","93","100"
"male","group E","some high school","standard","none","100","86","84"
"male","group B","bachelor's degree","free/reduced","none","71","68","65"
"female","group C","some high school","standard","none","55","60","57"
"female","group C","associate's degree","standard","none","84","88","89"
"female","group C","high school","standard","none","59","61","63"
"male","group E","some high school","standard","none","94","87","82"
"female","group C","associate's degree","standard","none","67","76","79"
"male","group B","some college","standard","none","69","65","68"
"male","group D","some college","standard","completed","100","100","99"
"female","group C","some college","free/reduced","completed","62","74","77"
"female","group E","master's degree","standard","none","71","76","75"
"female","group B","high school","standard","completed","81","93","90"
"male","group C","some high school","standard","completed","62","68","64"
"male","group E","some high school","standard","none","88","81","68"
"male","group C","master's degree","free/reduced","completed","46","47","51"
"female","group C","some college","free/reduced","none","43","58","55"
"female","group C","some high school","standard","none","65","71","68"
"female","group D","associate's degree","free/reduced","none","79","83","86"
"male","group D","some college","free/reduced","none","79","61","57"
"male","group E","high school","free/reduced","none","66","65","62"
"female","group B","bachelor's degree","free/reduced","none","43","65","62"
"female","group A","bachelor's degree","standard","completed","48","67","72"
"female","group C","associate's degree","standard","none","68","70","75"
"female","group C","associate's degree","standard","none","67","71","72"
"male","group B","some high school","free/reduced","completed","49","59","56"
"female","group C","associate's degree","standard","none","49","58","62"
"female","group C","associate's degree","free/reduced","none","61","74","75"
"female","group C","some college","free/reduced","none","41","62","54"
"male","group C","some college","standard","none","65","65","54"
"male","group C","bachelor's degree","free/reduced","completed","68","78","71"
"female","group B","high school","free/reduced","none","39","56","47"
"female","group C","high school","standard","none","58","61","66"
"female","group C","associate's degree","standard","completed","83","100","100"
"female","group D","high school","standard","completed","71","65","76"
"female","group E","associate's degree","free/reduced","none","53","61","55"
"male","group C","associate's degree","standard","completed","78","88","84"
"female","group E","high school","standard","completed","88","91","93"
"male","group E","high school","standard","completed","94","88","85"
"female","group C","bachelor's degree","standard","none","66","63","72"
"male","group C","some college","standard","none","68","72","63"
"female","group E","associate's degree","standard","completed","96","93","96"
"male","group A","high school","standard","completed","73","79","82"
"male","group B","bachelor's degree","standard","none","58","67","61"
"male","group D","associate's degree","free/reduced","completed","49","56","55"
"male","group D","some college","free/reduced","none","69","55","59"
"female","group A","bachelor's degree","standard","none","52","56","57"
"female","group C","some high school","standard","none","80","90","86"
"female","group C","associate's degree","standard","completed","62","68","69"
"male","group C","associate's degree","standard","completed","99","88","88"
"female","group E","some college","standard","none","75","70","71"
"male","group D","bachelor's degree","free/reduced","none","39","36","37"
"male","group C","bachelor's degree","standard","none","60","58","51"
"male","group E","some college","standard","none","80","73","69"
"female","group E","some college","free/reduced","none","56","60","60"
"male","group D","master's degree","standard","none","91","86","87"
"male","group B","high school","free/reduced","none","74","69","73"
"female","group C","high school","standard","none","52","58","54"
"female","group D","some college","standard","none","70","68","72"
"male","group C","some college","standard","none","43","48","42"
"female","group B","some high school","standard","none","70","88","81"
"male","group D","some college","standard","completed","59","56","57"
"female","group D","some high school","standard","none","73","82","76"
"male","group B","high school","standard","none","58","55","56"
"male","group C","some high school","standard","none","70","64","60"
"male","group D","some college","standard","none","56","47","46"
"male","group C","some college","standard","none","55","50","46"
"female","group C","associate's degree","standard","completed","84","97","99"
"female","group B","associate's degree","standard","none","62","78","78"
"female","group C","high school","standard","none","65","72","71"
"female","group C","bachelor's degree","free/reduced","none","55","63","68"
"male","group B","some college","free/reduced","none","76","67","67"
"female","group B","some high school","standard","none","56","65","59"
"male","group B","high school","standard","completed","54","54","48"
"male","group E","some college","standard","none","91","81","79"
"male","group C","high school","free/reduced","completed","69","67","68"
"female","group C","some high school","standard","none","62","75","68"
"male","group C","some college","standard","completed","77","72","79"
"male","group D","associate's degree","free/reduced","completed","64","63","59"
"female","group B","bachelor's degree","standard","none","60","75","72"
"female","group D","some high school","free/reduced","none","43","62","60"
"male","group D","associate's degree","standard","none","86","91","91"
"male","group D","high school","standard","none","73","69","68"
"female","group A","master's degree","free/reduced","none","54","49","52"
"female","group C","some high school","standard","none","58","68","69"
"male","group C","associate's degree","standard","none","66","60","56"
"male","group B","bachelor's degree","standard","completed","74","73","71"
"male","group B","some college","standard","completed","92","71","77"
"male","group C","some high school","standard","none","80","80","74"
"male","group B","associate's degree","standard","none","89","85","85"
"female","group E","some high school","free/reduced","none","59","70","58"
"female","group E","master's degree","standard","none","97","100","100"
"female","group A","some college","standard","none","54","59","57"
"male","group A","associate's degree","free/reduced","none","57","66","58"
"female","group E","master's degree","free/reduced","none","73","86","75"
"male","group C","some college","free/reduced","completed","67","61","58"
"female","group B","some high school","standard","none","48","58","55"
"male","group B","some college","free/reduced","none","67","59","52"
"female","group C","associate's degree","free/reduced","completed","74","81","86"
"female","group C","some college","free/reduced","completed","40","59","55"
"male","group D","some high school","standard","completed","66","59","60"
"female","group D","associate's degree","free/reduced","none","59","73","70"
"female","group C","high school","standard","none","52","47","48"
"male","group E","some high school","standard","completed","100","95","95"
"male","group A","associate's degree","standard","none","47","55","50"
"male","group E","bachelor's degree","standard","none","100","94","93"
"male","group E","some high school","standard","none","100","76","77"
"female","group A","some college","free/reduced","none","28","48","43"
"female","group C","some college","standard","completed","47","63","61"
"male","group D","some college","standard","completed","83","79","81"
"female","group A","some college","free/reduced","none","44","66","60"
"female","group A","some high school","standard","none","67","79","71"
"male","group C","some college","standard","none","65","60","60"
"male","group C","high school","standard","completed","63","59","62"
"female","group B","associate's degree","free/reduced","none","45","57","51"
"male","group D","master's degree","free/reduced","none","70","64","60"
"male","group C","associate's degree","free/reduced","none","44","50","37"
"male","group D","associate's degree","free/reduced","none","66","63","63"
"male","group A","some college","free/reduced","none","58","49","51"
"female","group C","some college","free/reduced","completed","53","78","71"
"male","group A","some high school","free/reduced","none","36","37","28"
"male","group B","associate's degree","standard","none","73","75","69"
"male","group E","bachelor's degree","free/reduced","none","78","70","70"
"male","group A","high school","free/reduced","none","42","39","37"
"female","group C","some college","free/reduced","none","40","53","48"
"male","group A","high school","standard","none","74","87","78"
"male","group B","some high school","standard","completed","46","48","51"
"female","group B","associate's degree","standard","none","78","81","89"
"female","group D","bachelor's degree","free/reduced","none","43","64","60"
"male","group D","associate's degree","free/reduced","completed","56","53","50"
"male","group E","some college","free/reduced","none","60","54","55"
"female","group D","high school","standard","completed","40","57","59"
"female","group C","some high school","standard","none","82","85","82"
"female","group B","master's degree","standard","none","89","92","95"
"female","group D","some college","standard","none","76","91","85"
"female","group B","bachelor's degree","standard","none","76","77","77"
"male","group A","some high school","standard","none","74","86","74"
"male","group E","some college","standard","none","100","96","89"
"male","group E","some college","standard","none","85","76","71"
"female","group C","some college","standard","none","74","78","77"
"female","group C","some college","standard","none","68","73","72"
"female","group D","associate's degree","standard","none","75","74","79"
"female","group D","some high school","standard","completed","74","93","99"
"male","group C","high school","standard","none","68","55","58"
"male","group E","high school","free/reduced","none","73","64","57"
"female","group D","high school","standard","none","65","64","66"
"female","group C","some college","free/reduced","none","45","61","58"
"male","group C","high school","free/reduced","completed","82","81","74"
"male","group E","bachelor's degree","standard","completed","94","82","85"
"male","group C","high school","free/reduced","completed","41","38","38"
"male","group D","associate's degree","standard","none","54","32","34"
"female","group E","some high school","free/reduced","none","54","62","56"
"male","group D","master's degree","standard","none","77","81","77"
"female","group B","associate's degree","standard","none","62","83","75"
"female","group E","bachelor's degree","free/reduced","none","60","71","66"
"female","group C","associate's degree","free/reduced","none","32","49","46"
"male","group C","high school","free/reduced","completed","62","70","60"
"male","group C","associate's degree","standard","none","86","81","78"
"male","group B","some college","standard","none","93","92","87"
"female","group D","some high school","standard","none","46","57","61"
"female","group D","associate's degree","standard","none","66","73","71"
"male","group A","master's degree","standard","completed","84","79","79"
"female","group D","high school","standard","none","84","96","97"
"female","group E","high school","free/reduced","none","58","70","65"
"male","group A","some college","free/reduced","completed","35","34","33"
"female","group B","associate's degree","standard","none","81","88","82"
"female","group E","some high school","standard","none","66","71","66"
"male","group A","associate's degree","standard","none","70","67","60"
"male","group B","associate's degree","free/reduced","none","27","36","24"
"female","group A","associate's degree","standard","none","85","100","93"
"male","group A","some college","free/reduced","completed","51","53","43"
"female","group D","some high school","free/reduced","completed","53","67","70"
"female","group C","some college","standard","completed","58","70","66"
"male","group C","some college","standard","completed","78","76","74"
"female","group D","bachelor's degree","standard","completed","81","100","98"
"male","group E","high school","free/reduced","none","66","65","58"
"male","group D","some college","standard","none","57","49","54"
"female","group B","bachelor's degree","free/reduced","completed","73","82","94"
"female","group C","master's degree","standard","none","62","63","64"
"male","group B","some college","free/reduced","none","66","56","50"
"male","group B","associate's degree","standard","completed","66","59","61"
"female","group A","some college","free/reduced","completed","63","86","85"
"male","group A","some high school","free/reduced","none","43","45","45"
"male","group C","master's degree","standard","none","100","82","84"
"female","group D","master's degree","standard","none","97","86","94"
"female","group C","master's degree","standard","completed","100","100","100"
"male","group B","some high school","free/reduced","completed","63","59","55"
"female","group C","high school","standard","none","77","89","83"
"female","group C","bachelor's degree","standard","none","65","67","64"
"male","group C","high school","free/reduced","none","48","52","43"
"male","group C","some college","standard","none","80","77","77"
"male","group C","some college","standard","none","49","46","40"
"male","group C","some college","free/reduced","completed","30","36","32"
"male","group A","high school","standard","completed","52","59","61"
"female","group D","some college","standard","none","66","68","73"
"male","group C","some high school","standard","none","39","37","36"
"male","group B","associate's degree","standard","completed","61","61","59"
"female","group E","some high school","free/reduced","none","70","62","66"
"female","group D","high school","standard","none","77","84","81"
"male","group C","associate's degree","standard","none","52","67","56"
"male","group C","bachelor's degree","standard","none","69","72","75"
"male","group D","high school","standard","none","62","50","49"
"male","group C","some high school","free/reduced","completed","46","55","54"
"male","group C","some high school","free/reduced","none","66","74","68"
"female","group B","high school","free/reduced","none","51","67","69"
"female","group D","associate's degree","standard","completed","47","46","58"
"female","group D","some college","standard","none","68","69","69"
"male","group E","some high school","free/reduced","completed","89","82","78"
"male","group E","some college","standard","none","72","66","63"
"male","group C","some college","standard","completed","87","83","88"
"male","group C","some college","free/reduced","none","53","52","49"
"male","group A","bachelor's degree","standard","none","73","68","63"
"male","group D","some college","free/reduced","none","79","81","79"
"male","group C","associate's degree","standard","none","69","70","66"
"female","group A","some high school","free/reduced","none","55","60","58"
"male","group C","some college","standard","completed","65","52","50"
"female","group D","bachelor's degree","standard","none","93","92","94"
"male","group A","some college","standard","none","52","56","51"
"male","group C","associate's degree","standard","none","88","82","81"
"male","group D","some college","free/reduced","completed","76","65","73"
"male","group C","high school","free/reduced","none","54","64","48"
"female","group E","some college","free/reduced","none","67","71","63"
"female","group B","associate's degree","standard","none","61","68","67"
"female","group E","some high school","standard","none","92","83","89"
"male","group C","some high school","standard","none","65","63","54"
"male","group B","associate's degree","standard","none","40","29","36"
"male","group E","high school","standard","completed","88","82","75"
"female","group C","high school","standard","none","65","76","70"
"male","group A","some college","free/reduced","none","43","56","46"
"female","group D","high school","free/reduced","none","41","56","47"
"female","group C","some college","standard","none","59","71","67"
"female","group D","some college","free/reduced","none","50","61","63"
"female","group B","bachelor's degree","standard","completed","93","95","94"
"female","group C","some college","free/reduced","completed","54","71","71"
"female","group E","high school","free/reduced","completed","65","82","79"
"male","group C","associate's degree","standard","none","72","75","75"
"male","group D","bachelor's degree","standard","none","95","88","83"
"female","group C","some college","free/reduced","none","40","38","40"
"male","group E","some college","free/reduced","none","67","59","58"
"male","group B","bachelor's degree","standard","none","86","80","80"
"female","group C","some college","standard","completed","72","95","91"
"female","group D","some high school","standard","completed","56","69","67"
"female","group D","some college","standard","none","82","100","98"
"female","group A","associate's degree","standard","none","68","72","77"
"male","group C","high school","standard","completed","66","61","66"
"female","group D","high school","standard","completed","57","64","69"
"female","group C","associate's degree","standard","completed","90","88","92"
"female","group E","associate's degree","free/reduced","none","52","61","61"
"female","group E","some college","free/reduced","completed","82","99","98"
"male","group A","some college","standard","none","60","54","49"
"female","group A","master's degree","standard","completed","58","81","80"
"male","group D","master's degree","standard","completed","80","77","83"
"male","group B","high school","standard","none","60","45","42"
"male","group A","master's degree","standard","completed","63","59","61"
"female","group E","high school","standard","none","72","72","73"
"male","group D","some college","free/reduced","none","48","43","39"
"male","group B","some high school","standard","completed","80","71","71"
"female","group D","high school","standard","none","36","44","39"
"male","group E","high school","free/reduced","none","88","82","79"
"female","group B","high school","free/reduced","completed","69","80","79"
"female","group B","bachelor's degree","standard","completed","72","86","91"
"female","group B","some college","standard","completed","81","93","93"
"female","group E","some college","standard","completed","80","88","91"
"male","group C","associate's degree","standard","completed","82","91","87"
"female","group D","high school","standard","completed","82","89","94"
"female","group C","some high school","free/reduced","none","36","45","45"
"female","group E","master's degree","standard","completed","86","100","100"
"male","group D","some high school","standard","none","65","43","50"
"female","group A","high school","free/reduced","none","41","44","46"
"female","group C","high school","free/reduced","none","53","62","53"
"male","group D","associate's degree","free/reduced","none","66","64","67"
"male","group B","high school","standard","none","57","60","54"
"male","group B","associate's degree","free/reduced","completed","60","60","55"
"female","group C","some college","free/reduced","none","39","59","55"
"male","group A","associate's degree","standard","completed","87","87","83"
"male","group E","associate's degree","standard","completed","86","79","74"
"female","group B","master's degree","free/reduced","completed","63","85","82"
"female","group D","some college","standard","none","50","51","51"
"female","group B","some college","standard","completed","55","65","64"
"female","group C","bachelor's degree","free/reduced","completed","67","82","85"
"female","group C","some high school","standard","none","72","70","72"
"female","group C","high school","free/reduced","completed","46","63","66"
"male","group B","associate's degree","standard","completed","89","87","86"
"male","group E","high school","standard","none","70","53","47"
"male","group C","some high school","standard","none","75","77","70"
"male","group C","some college","standard","none","57","54","51"
"female","group C","associate's degree","standard","none","88","93","93"
"female","group E","associate's degree","standard","completed","70","78","74"
"female","group E","master's degree","standard","completed","95","100","100"
"female","group D","associate's degree","free/reduced","completed","79","87","92"
"female","group A","some college","standard","none","57","77","73"
"female","group C","some college","standard","none","66","76","73"
"male","group A","high school","standard","none","87","82","80"
"female","group D","bachelor's degree","free/reduced","none","63","76","69"
"female","group C","some high school","free/reduced","completed","46","65","65"
"female","group C","bachelor's degree","standard","none","87","94","100"
"male","group C","some college","standard","none","50","54","49"
"female","group C","some college","free/reduced","none","44","41","40"
"female","group B","associate's degree","standard","none","40","42","46"
"female","group A","high school","standard","none","80","82","79"
"female","group C","high school","free/reduced","none","49","63","56"
"male","group B","some high school","standard","completed","53","56","56"
"female","group A","high school","free/reduced","none","59","82","74"
"male","group D","some high school","free/reduced","none","30","22","24"
"male","group D","high school","standard","none","78","82","75"
"female","group C","associate's degree","standard","completed","93","100","100"
"male","group E","high school","standard","none","63","67","59"
"male","group C","some high school","standard","none","75","71","65"
"male","group C","master's degree","standard","none","69","65","66"
"female","group E","bachelor's degree","standard","none","76","88","86"
"male","group D","associate's degree","standard","completed","100","100","100"
"female","group B","associate's degree","standard","none","76","81","80"
"female","group A","high school","standard","none","59","69","68"
"female","group B","high school","free/reduced","none","42","68","62"
"male","group E","bachelor's degree","standard","none","92","87","82"
"female","group C","some college","standard","completed","39","35","41"
"male","group C","high school","free/reduced","none","68","76","62"
"female","group B","some college","standard","completed","71","87","89"
"male","group D","high school","free/reduced","completed","80","83","81"
"female","group E","high school","standard","none","63","63","64"
"female","group B","some high school","free/reduced","none","36","53","48"
"male","group D","some high school","standard","none","57","51","51"
"female","group C","high school","standard","none","65","76","75"
"female","group C","bachelor's degree","standard","none","62","65","66"
"male","group D","associate's degree","standard","none","68","63","62"
"male","group D","some college","standard","none","90","83","82"
"female","group D","some college","standard","completed","90","97","98"
"male","group C","bachelor's degree","standard","completed","85","69","77"
"female","group C","associate's degree","standard","none","62","77","71"
"male","group A","high school","free/reduced","completed","68","60","62"
"male","group A","bachelor's degree","standard","completed","67","78","72"
"female","group A","bachelor's degree","standard","none","84","93","94"
"female","group C","high school","standard","completed","88","90","92"
"male","group C","master's degree","standard","completed","89","84","84"
"male","group E","some college","free/reduced","none","61","53","55"
"female","group C","associate's degree","standard","none","41","47","51"
"female","group C","bachelor's degree","standard","completed","77","90","89"
"male","group C","high school","standard","completed","69","61","60"
"female","group E","high school","standard","completed","63","71","74"
"male","group D","some college","standard","none","59","50","54"
"female","group E","associate's degree","standard","completed","92","100","99"
"female","group C","some college","standard","none","40","52","53"
"male","group D","some high school","free/reduced","none","63","51","50"
"male","group A","high school","standard","none","63","60","56"
"male","group D","high school","standard","none","73","70","67"
"male","group C","some college","free/reduced","none","81","75","75"
"female","group E","some college","standard","completed","74","80","82"
"male","group C","some high school","standard","completed","68","72","68"
"male","group E","associate's degree","standard","completed","78","70","68"
"female","group B","some college","standard","completed","71","84","82"
"male","group C","associate's degree","standard","completed","70","74","67"
"male","group C","some college","free/reduced","none","77","74","62"
"male","group C","some high school","standard","none","71","72","60"
"male","group B","some high school","standard","completed","66","67","66"
"male","group A","bachelor's degree","free/reduced","completed","81","79","81"
"male","group D","associate's degree","free/reduced","completed","92","81","86"
"male","group B","some college","standard","completed","63","50","48"
